ID	country
DTU2018-1435-PRJ1147-Escherichia-coli-801802016_S19_L001	Denmark
DTU2018-1436-PRJ1147-Escherichia-coli-801303004_S20_L001	Denmark
DTU2018-1316-PRJ1147-Escherichia-coli-802802020	Denmark
DTU2018-1310-PRJ1147-Escherichia-coli-802802008	Denmark
DTU2018-1303-PRJ1147-Escherichia-coli-802402014	Denmark
DTU2018-1308-PRJ1147-Escherichia-coli-802802004	Denmark
DTU2018-1299-PRJ1147-Escherichia-coli-802402006	Denmark
DTU2018-252-PRJ1147-Escherichia-coli-800103010_S44_L001	Denmark
DTU2018-1248-PRJ1147-Escherichia-coli-802303004	Denmark
DTU2018-1309-PRJ1147-Escherichia-coli-802802006	Denmark
DTU2018-1312-PRJ1147-Escherichia-coli-802802012	Denmark
DTU2018-1313-PRJ1147-Escherichia-coli-802802014	Denmark
DTU2018-1243-PRJ1147-Escherichia-coli-801303014	Denmark
DTU2018-265-PRJ1147-Escherichia-coli-801103014	Denmark
DTU2018-1255-PRJ1147-Escherichia-coli-802303018	Denmark
DTU2018-1254-PRJ1147-Escherichia-coli-802303016	Denmark
DTU2018-261-PRJ1147-Escherichia-coli-801103008	Denmark
DTU2018-1266-PRJ1147-Escherichia-coli-803303020	Denmark
DTU2018-1277-PRJ1147-Escherichia-coli-801802002	Denmark
DTU2018-1279-PRJ1147-Escherichia-coli-801802006	Denmark
DTU2018-1264-PRJ1147-Escherichia-coli-803303016	Denmark
DTU2018-1270-PRJ1147-Escherichia-coli-800202008	Denmark
DTU2018-1291-PRJ1147-Escherichia-coli-802002010	Denmark
DTU2018-1238-PRJ1147-Escherichia-coli-801303004	Denmark
DTU2018-1252-PRJ1147-Escherichia-coli-802303012	Denmark
DTU2018-1246-PRJ1147-Escherichia-coli-801303020	Denmark
DTU2018-263-PRJ1147-Escherichia-coli-801103012	Denmark
DTU2018-1244-PRJ1147-Escherichia-coli-801303016	Denmark
DTU2018-1242-PRJ1147-Escherichia-coli-801303012	Denmark
DTU2018-262-PRJ1147-Escherichia-coli-801103010	Denmark
DTU2018-1267-PRJ1147-Escherichia-coli-800202002	Denmark
DTU2018-1293-PRJ1147-Escherichia-coli-802002014	Denmark
DTU2018-1282-PRJ1147-Escherichia-coli-801802012	Denmark
DTU2018-1278-PRJ1147-Escherichia-coli-800182004	Denmark
DTU2018-1290-PRJ1147-Escherichia-coli-802002008	Denmark
DTU2018-256-PRJ1147-Escherichia-coli-800103018	Denmark
DTU2018-1253-PRJ1147-Escherichia-coli-802303014	Denmark
DTU2018-257-PRJ1147-Escherichia-coli-800103020	Denmark
DTU2018-1239-PRJ1147-Escherichia-coli-801303006	Denmark
DTU2018-1258-PRJ1147-Escherichia-coli-803303004	Denmark
DTU2018-1250-PRJ1147-Escherichia-coli-802303008	Denmark
DTU2018-1256-PRJ1147-Escherichia-coli-802303020	Denmark
DTU2018-1261-PRJ1147-Escherichia-coli-803303010	Denmark
DTU2018-1235-PRJ1147-Escherichia-coli-801103016	Denmark
DTU2018-259-PRJ1147-Escherichia-coli-801103004	Denmark
DTU2018-1269-PRJ1147-Escherichia-coli-800202006	Denmark
DTU2018-1294-PRJ1147-Escherichia-coli-802002016	Denmark
DTU2018-1257-PRJ1147-Escherichia-coli-803303002	Denmark
DTU2018-1288-PRJ1147-Escherichia-coli-802002004	Denmark
DTU2018-1237-PRJ1147-Escherichia-coli-801303002	Denmark
DTU2018-258-PRJ1147-Escherichia-coli-801103002	Denmark
DTU2018-1281-PRJ1147-Escherichia-coli-801802010	Denmark
DTU2018-1276-PRJ1147-Escherichia-coli-800202020	Denmark
DTU2018-1296-PRJ1147-Escherichia-coli-802002020	Denmark
DTU2018-1236-PRJ1147-Escherichia-coli-801103020	Denmark
DTU2018-1262-PRJ1147-Escherichia-coli-803303012	Denmark
DTU2018-1275-PRJ1147-Escherichia-coli-800202018	Denmark
DTU2018-1289-PRJ1147-Escherichia-coli-802002006	Denmark
DTU2018-1280-PRJ1147-Escherichia-coli-801802008	Denmark
DTU2018-1297-PRJ1147-Escherichia-coli-802402002	Denmark
DTU2018-1286-PRJ1147-Escherichia-coli-801802020	Denmark
DTU2018-1287-PRJ1147-Escherichia-coli-802002002	Denmark
DTU2018-253-PRJ1147-Escherichia-coli-800103012_S45_L001	Denmark
DTU2018-1285-PRJ1147-Escherichia-coli-801802018	Denmark
DTU2018-1274-PRJ1147-Escherichia-coli-800202016	Denmark
DTU2018-1247-PRJ1147-Escherichia-coli-802303002	Denmark
DTU2018-1263-PRJ1147-Escherichia-coli-803303014	Denmark
DTU2018-1249-PRJ1147-Escherichia-coli-802303006	Denmark
DTU2018-260-PRJ1147-Escherichia-coli-801103006	Denmark
DTU2018-1292-PRJ1147-Escherichia-coli-802002012	Denmark
DTU2018-1272-PRJ1147-Escherichia-coli-800202012	Denmark
DTU2018-1260-PRJ1147-Escherichia-coli-803303008	Denmark
DTU2018-1273-PRJ1147-Escherichia-coli-800202014	Denmark
DTU2018-1295-PRJ1147-Escherichia-coli-802002018	Denmark
