id	description	year	month	day	country__autocolor	latitude	longitude
005	Poultry meat	2014	04	21	NA	NA	NA
008	Poultry meat	2014	04	15	NA	NA	NA
011	Meat processing plant surface swab	2014	04	15	NA	NA	NA
036	Meat processing plant surface swab	2014	04	21	NA	NA	NA
038	Meat processing plant surface swab	2014	04	28	NA	NA	NA
049	Meat processing plant surface swab	2014	05	06	NA	NA	NA
089	Meat processing plant surface swab	2014	05	14	NA	NA	NA
098	Meat processing plant surface swab	2014	06	03	NA	NA	NA
110	Meat processing plant surface swab	2014	06	11	NA	NA	NA
125	Stool	2014	04	14	NA	NA	NA

