"005_R1"	"008_R1"	"011_R1"	"036_R1"	"038_R1"	"049_R1"	"089_R1"	"098_R1"	"110_R1"	"125_R1"
"005_R1"	0	0.107839235972941	0.0366096299243932	0.0218861918026263	0.0262634301631516	0.0425785913251094	0.0254675686430561	0.0951054516514127	0.0222841225626741	0.0234779148428173
"008_R1"	0.107839235972941	0	0.119379228014326	0.108237166732988	0.11142061281337	0.120175089534421	0.109430959013132	0.0748109828889773	0.104655789892559	0.108635097493036
"011_R1"	0.0366096299243932	0.119379228014326	0	0.0290489454834859	0.0282530839633904	0.060883406287306	0.0433744528452049	0.107043374452845	0.0374054914444887	0.0393951452447274
"036_R1"	0.0218861918026263	0.108237166732988	0.0290489454834859	0	0.0179068842021488	0.0465578989255869	0.0278551532033426	0.0951054516514127	0.0250696378830084	0.0270592916832471
"038_R1"	0.0262634301631516	0.11142061281337	0.0282530839633904	0.0179068842021488	0	0.0501392757660167	0.0326303223239156	0.0974930362116992	0.0302427377636291	0.0302427377636291
"049_R1"	0.0425785913251094	0.120175089534421	0.060883406287306	0.0465578989255869	0.0501392757660167	0	0.0477516912057302	0.107043374452845	0.0445682451253482	0.0477516912057302
"089_R1"	0.0254675686430561	0.109430959013132	0.0433744528452049	0.0278551532033426	0.0326303223239156	0.0477516912057302	0	0.0959013131715082	0.0218861918026263	0.0246717071229606
"098_R1"	0.0951054516514127	0.0748109828889773	0.107043374452845	0.0951054516514127	0.0974930362116992	0.107043374452845	0.0959013131715082	0	0.0919220055710306	0.0951054516514127
"110_R1"	0.0222841225626741	0.104655789892559	0.0374054914444887	0.0250696378830084	0.0302427377636291	0.0445682451253482	0.0218861918026263	0.0919220055710306	0	0.0194986072423398
"125_R1"	0.0234779148428173	0.108635097493036	0.0393951452447274	0.0270592916832471	0.0302427377636291	0.0477516912057302	0.0246717071229606	0.0951054516514127	0.0194986072423398	0
